"","ID","Station Name","Street Address","Location","geometry"
"97",260948,"300 E. Randolph Unit #3","300 E. Randolph","(41.8846651, -87.6199166)",c(-87.6199166, 41.8846651)
"98",319631,"GRANDOHIO CONDO STATION 1","211 East Ohio Street","(41.891997, -87.621655)",c(-87.621655, 41.891997)
"99",46807,"Berman Nissan - Chicago","4444 W Irving Park Rd","(41.953751, -87.739697)",c(-87.739697, 41.953751)
"100",251338,"Mac Management Co","640 N La Salle St","(41.8936332, -87.6329)",c(-87.6329, 41.8936332)
"101",151741,"Walgreens at 111 S Halsted St, Chicago","111 S Halsted St","(41.880205, -87.6470495)",c(-87.6470495, 41.880205)
"102",205194,"INTERPARK LAKE & WELLS 2","614 N St Clair St","(41.89315, -87.62299)",c(-87.62299, 41.89315)
"103",164167,"Chicago Travel Plaza - Tesla Supercharger","Building 840 Chicago O'Hare International Airport","(41.998752, -87.888342)",c(-87.888342, 41.998752)
"104",228119,"Walgreens","5625 N Ridge Ave","(41.984701, -87.660936)",c(-87.660936, 41.984701)
"105",146607,"5252 S CORNELL 5252 APARTMENTS","1600 E 53rd St","(41.799683, -87.586296)",c(-87.586296, 41.799683)
"106",114162,"Atlantic Aviation MDW - Tesla Destination","6150 S Laramie Ave","(41.780364, -87.752853)",c(-87.752853, 41.780364)
"107",322522,"NORTHWESTERN ERIE GARAGE 1","328 E Ontario St","(41.893823, -87.61955)",c(-87.61955, 41.893823)
"108",213406,"The Breakers at Edgewater Beach","5333 North Sheridan Road","(41.9789646, -87.6545663)",c(-87.6545663, 41.9789646)
"109",171655,"3RD FLOOR GREENWAY-1","60 W Kinzie St","(41.889364, -87.630328)",c(-87.630328, 41.889364)
"110",313657,"530201 - NMH-441 E. Ontario","441 East Ontario Street","(41.893233, -87.615834)",c(-87.615834, 41.893233)
"111",151754,"AMC Ford City 14","4700 W 77Th St","(41.753993, -87.733809)",c(-87.733809, 41.753993)
"112",202797,"INTERPARK 181N DEARBORN 1","181 N Dearborn St","(41.885269, -87.629082)",c(-87.629082, 41.885269)
"113",185439,"ADVOCATE IL MASONIC 1","3011 N Dayton St","(41.93669, -87.65024)",c(-87.65024, 41.93669)
"114",73954,"71086 900910","900 N Lake Shore Dr","(41.899474, -87.619448)",c(-87.619448, 41.899474)
"115",189176,"McDonalds 6676","600 N Clark","(41.892786, -87.631728)",c(-87.631728, 41.892786)
"116",205430,"Cityfront Place Garage - Floor 2 Right","400 N. McClurg Court","(41.8891899, -87.6181012)",c(-87.6181012, 41.8891899)
"117",260477,"PNC Centre at One North Franklin","North Franklin Street","(41.8857555, -87.6353777)",c(-87.6353777, 41.8857555)
"118",171743,"PARKING GARAGE P3 NGW","111 S Wacker Dr","(41.880395, -87.636583)",c(-87.636583, 41.880395)
"119",226281,"Plant Chicago","4459 S Marshfield Ave","(41.8123625, -87.6659539)",c(-87.6659539, 41.8123625)
"120",158351,"Walgreens L2","1520 W Fullerton Ave","(41.925715, -87.666226)",c(-87.666226, 41.925715)
"121",151751,"Jewel Osco #3514 3531 Broadway	Chicago	IL","3531 North Broadway","(41.9469465, -87.6465385)",c(-87.6465385, 41.9469465)
"122",167749,"LEFT BANK CS STATION 1","300 N Canal St","(41.887215, -87.640641)",c(-87.640641, 41.887215)
"123",46806,"Berman Nissan - Chicago","4444 W Irving Park Rd","(41.953751, -87.739697)",c(-87.739697, 41.953751)
"124",214241,"McCarthy Ford","11400 S. Pulaski Road","(41.685101, -87.720354)",c(-87.720354, 41.685101)
"125",202793,"INTERPARK 341 S WELLS 2","308 S Wells St","(41.877536, -87.63426)",c(-87.63426, 41.877536)
"126",236277,"PARKING B LOT B FLOOR8 #1","259 E Erie St","(41.893691, -87.620953)",c(-87.620953, 41.893691)
"127",171561,"CFP II, LLC 204","240 E Illinois St","(41.891099, -87.621074)",c(-87.621074, 41.891099)
